ref_date;interval;L50;L100;L200;L250;L500;L1000;L1500;L2000;L2500;L5000,SDATE;INTERVAL;R<50-25%;R<50-75%;R50;R<100-25%;R<100-75%;R100;R<200-25%;R<200-75%;R200;R<250-25%;R<250-75%;R250;R<500-25%;R<500-75%;R500;R<1000-25%;R<1000-75%;R1000;R<1500-25%;R<1500-75%;R1500;R<2000-25%;R<2000-75%;R2000;R<2500-25%;R<2500-75%;R2500;R<5000-25%;R<5000-75%;R5000;SUM_CENTS_PRINCIPAL
01/01/2020;00;9907;18380;7358;8014;3992;566;140;7;58;1,01/01/2020;00;1307;1176;3562;956;690;7889;663;714;2684;170;229;2762;281;226;1197;26;23;166;0;3;37;1;1;1;1;1;6;1;0;1;3733149
01/01/2020;01;3561;6768;2130;2702;1421;192;32;9;14;0,01/01/2020;01;728;592;1359;451;335;3044;346;342;1011;75;107;1171;146;116;521;20;13;71;0;3;17;0;0;4;0;1;6;0;0;0;1596210
01/01/2020;02;1900;3901;1115;1403;696;94;16;3;8;0,01/01/2020;02;307;294;694;184;144;1431;174;155;448;38;52;534;85;50;239;8;5;24;1;1;4;0;0;1;1;0;4;0;0;0;728563
01/01/2020;03;1190;2262;610;851;415;64;16;1;5;1,01/01/2020;03;132;113;281;88;66;721;73;82;238;25;29;335;45;24;122;2;3;19;1;0;5;0;0;0;0;0;2;0;0;0;389737
01/01/2020;04;878;1636;467;595;304;52;9;0;3;0,01/01/2020;04;83;76;196;57;55;515;52;56;157;8;15;195;24;14;105;5;2;18;0;0;2;0;0;0;0;0;2;0;0;0;270814
01/01/2020;05;1378;2502;860;964;472;77;12;1;9;1,01/01/2020;05;146;124;375;100;68;805;67;70;262;14;29;340;31;22;156;3;6;19;0;1;5;0;0;1;0;0;6;0;0;0;432988
01/01/2020;06;3616;7124;3374;3455;1818;293;74;5;16;4,01/01/2020;06;725;553;2514;422;312;4551;352;367;1786;102;103;1527;149;130;690;24;17;115;3;5;35;0;0;1;1;0;9;0;1;0;2233442
01/01/2020;07;5161;10542;5350;6040;3287;535;122;3;41;2,01/01/2020;07;1433;1389;7067;1044;871;12527;919;1021;4680;213;298;4295;405;341;1963;51;49;302;6;2;59;1;1;0;0;3;25;0;0;1;6022207
01/01/2020;08;5063;10914;5389;6253;3593;572;121;3;64;3,01/01/2020;08;1758;1641;8107;1189;1002;15092;1089;1201;5576;257;412;5361;522;411;2654;52;48;363;13;2;79;0;1;7;2;3;46;0;0;2;7486567
01/01/2020;09;5181;11146;5402;6391;3697;572;130;7;55;4,01/01/2020;09;1683;1809;8158;1308;1019;15255;1164;1291;5475;282;414;5460;556;477;2746;67;48;418;9;6;93;2;1;7;2;5;47;1;0;1;7737103
01/01/2020;10;5000;10839;5176;6363;3576;542;120;8;54;1,01/01/2020;10;1711;1661;7455;1145;1015;14087;1040;1177;5126;246;356;5212;534;426;2499;75;45;393;7;4;92;2;0;5;0;3;45;0;0;1;7175878
