datetime,cumulative_balance
2020-01-01 00:00:00,23649
2020-01-01 01:00:00,29999
2020-01-01 02:00:00,34257
2020-01-01 03:00:00,37266
2020-01-01 04:00:00,39573
2020-01-01 05:00:00,43199
2020-01-01 06:00:00,48484
2020-01-01 07:00:00,40601
2020-01-01 08:00:00,25686
2020-01-01 09:00:00,10467
2020-01-01 10:00:00,-2216
2020-01-01 11:00:00,-12852
2020-01-01 12:00:00,-20132
2020-01-01 13:00:00,-25245
2020-01-01 14:00:00,-27945
2020-01-01 15:00:00,-30775
2020-01-01 16:00:00,-34426
2020-01-01 17:00:00,-38437
2020-01-01 18:00:00,-45745
2020-01-01 19:00:00,-49374
2020-01-01 20:00:00,-47814
2020-01-01 21:00:00,-42205
2020-01-01 22:00:00,-35367
2020-01-01 23:00:00,-28970
2020-01-02 00:00:00,-24658
2020-01-02 01:00:00,-22173
2020-01-02 02:00:00,-20051
2020-01-02 03:00:00,-18458
2020-01-02 04:00:00,-16930
2020-01-02 05:00:00,-14631
2020-01-02 06:00:00,-8464
2020-01-02 07:00:00,-5974
2020-01-02 08:00:00,-9398
2020-01-02 09:00:00,-17386
2020-01-02 10:00:00,-26870
2020-01-02 11:00:00,-36184
2020-01-02 12:00:00,-43805
2020-01-02 13:00:00,-49705
2020-01-02 14:00:00,-55078
2020-01-02 15:00:00,-60938
2020-01-02 16:00:00,-68528
2020-01-02 17:00:00,-79027
2020-01-02 18:00:00,-95357
2020-01-02 19:00:00,-105754
2020-01-02 20:00:00,-104308
2020-01-02 21:00:00,-97999
2020-01-02 22:00:00,-90388
2020-01-02 23:00:00,-85475
2020-01-03 00:00:00,-82450
2020-01-03 01:00:00,-81196
2020-01-03 02:00:00,-80286
2020-01-03 03:00:00,-79381
2020-01-03 04:00:00,-78179
2020-01-03 05:00:00,-75725
2020-01-03 06:00:00,-69092
2020-01-03 07:00:00,-69057
2020-01-03 08:00:00,-78439
2020-01-03 09:00:00,-90796
2020-01-03 10:00:00,-103085
2020-01-03 11:00:00,-113716
2020-01-03 12:00:00,-121370
2020-01-03 13:00:00,-127259
2020-01-03 14:00:00,-133139
2020-01-03 15:00:00,-139083
2020-01-03 16:00:00,-147282
2020-01-03 17:00:00,-158382
2020-01-03 18:00:00,-176436
2020-01-03 19:00:00,-188911
2020-01-03 20:00:00,-189556
2020-01-03 21:00:00,-183296
2020-01-03 22:00:00,-176082
2020-01-03 23:00:00,-170827
2020-01-04 00:00:00,-167396
2020-01-04 01:00:00,-166000
2020-01-04 02:00:00,-164973
2020-01-04 03:00:00,-163984
2020-01-04 04:00:00,-162732
2020-01-04 05:00:00,-160182
2020-01-04 06:00:00,-153774
2020-01-04 07:00:00,-143664
2020-01-04 08:00:00,-120615
2020-01-04 09:00:00,-98064
2020-01-04 10:00:00,-76695
2020-01-04 11:00:00,-56463
2020-01-04 12:00:00,-36935
2020-01-04 13:00:00,-18156
2020-01-04 14:00:00,701
2020-01-04 15:00:00,-46048
2020-01-04 16:00:00,-126503
2020-01-04 17:00:00,-197347
2020-01-04 18:00:00,-217050
2020-01-04 19:00:00,-232677
2020-01-04 20:00:00,-236775
